database_name,schema_name,table_name,table_type,table_description,ordinal_position,column_name,data_type,is_nullable,column_default,column_description
AIC,AIC,PRE_AIC,BASE TABLE,,1,CPF,TEXT,YES,,
AIC,AIC,PRE_AIC,BASE TABLE,,2,VARIANTE,TEXT,YES,,
AIC,AIC,PRE_AIC,BASE TABLE,,3,DH_CARGA,TIMESTAMP_NTZ,YES,CURRENT_TIMESTAMP(),
AIC,AIC,PRE_AIC_HIST,BASE TABLE,,1,CPF,TEXT,YES,,
AIC,AIC,PRE_AIC_HIST,BASE TABLE,,2,VARIANTE,TEXT,YES,,
AIC,AIC,PRE_AIC_HIST,BASE TABLE,,3,DH_CARGA,TIMESTAMP_NTZ,YES,CURRENT_TIMESTAMP(),
AIC,AIC,PRE_AIC_HIST,BASE TABLE,,4,ID_LOAD_HIST,NUMBER,YES,,
AIC,AIC,PRE_AIC_HIST,BASE TABLE,,5,DATA,TEXT,YES,,
AIC,AIC,PRE_AIC_HIST,BASE TABLE,,6,FILENAME,TEXT,YES,,
AIC,AIC,PRE_AIC_HIST,BASE TABLE,,7,USERNAME,TEXT,YES,,
AIC,AIC,TBCP_AIC,BASE TABLE,,1,CPF,TEXT,YES,,
AIC,AIC,TBCP_AIC,BASE TABLE,,2,COD_PRODUTO,TEXT,YES,,
AIC,AIC,TBCP_AIC,BASE TABLE,,3,DATA_ABERTURA_CONTA_CARTAO,DATE,YES,,
AIC,AIC,TBCP_AIC,BASE TABLE,,4,DATA_ULTIMA_COMPRA,DATE,YES,,
AIC,AIC,TBCP_AIC,BASE TABLE,,5,VARIANTE,TEXT,YES,,
AIC,AIC,TBCP_AIC,BASE TABLE,,6,STATUS_CARTAO,TEXT,YES,,
AIC,AIC,TBCP_AIC,BASE TABLE,,7,INDICADOR_COMPRA,TEXT,YES,,
AIC,AIC,TBCP_AIC,BASE TABLE,,8,BANDEIRA,TEXT,YES,,
AIC,AIC,TBCP_AIC,BASE TABLE,,9,DATA_GERACAO_DADOS,DATE,YES,,
AIC,AIC,TBCP_AIC,BASE TABLE,,10,DH_CARGA,TIMESTAMP_NTZ,YES,CURRENT_TIMESTAMP(),
AIC,AIC,TBCP_AIC_HIST,BASE TABLE,,1,CPF,TEXT,YES,,
AIC,AIC,TBCP_AIC_HIST,BASE TABLE,,2,COD_PRODUTO,TEXT,YES,,
AIC,AIC,TBCP_AIC_HIST,BASE TABLE,,3,DATA_ABERTURA_CONTA_CARTAO,DATE,YES,,
AIC,AIC,TBCP_AIC_HIST,BASE TABLE,,4,DATA_ULTIMA_COMPRA,DATE,YES,,
AIC,AIC,TBCP_AIC_HIST,BASE TABLE,,5,VARIANTE,TEXT,YES,,
AIC,AIC,TBCP_AIC_HIST,BASE TABLE,,6,STATUS_CARTAO,TEXT,YES,,
AIC,AIC,TBCP_AIC_HIST,BASE TABLE,,7,INDICADOR_COMPRA,TEXT,YES,,
AIC,AIC,TBCP_AIC_HIST,BASE TABLE,,8,BANDEIRA,TEXT,YES,,
AIC,AIC,TBCP_AIC_HIST,BASE TABLE,,9,DATA_GERACAO_DADOS,DATE,YES,,
AIC,AIC,TBCP_AIC_HIST,BASE TABLE,,10,DH_CARGA,TIMESTAMP_NTZ,YES,CURRENT_TIMESTAMP(),
AIC,AIC,TBCP_AIC_HIST,BASE TABLE,,11,ID_LOAD_HIST,NUMBER,YES,,
AIC,AIC,TBCP_AIC_HIST,BASE TABLE,,12,DATA,TEXT,YES,,
AIC,AIC,TBCP_AIC_HIST,BASE TABLE,,13,FILENAME,TEXT,YES,,
AIC,AIC,TBCP_AIC_HIST,BASE TABLE,,14,USERNAME,TEXT,YES,,
AIC,AIC,TT,BASE TABLE,,1,C1,TEXT,YES,,
