database_name,schema_name,table_name,table_type,table_description,ordinal_position,column_name,data_type,is_nullable,column_default,column_description
APM_INTERLINE,APM,PASSENGER,BASE TABLE,,6,EMAIL,TEXT,YES,,
APM_INTERLINE,APM,FLIGHT_PNR_ERROR,BASE TABLE,,6,DESTINATION_AIRPORT,TEXT,YES,,
APM_INTERLINE,APM,PNR_ERROR,BASE TABLE,,10,TIMESTAMP_TRANSACTION,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,EXPRESSION_EXCHANGE_RULE,BASE TABLE,,3,ACTIVE,BOOLEAN,YES,,
APM_INTERLINE,APM,CONTACT_BKP,BASE TABLE,,8,ID,NUMBER,YES,,
APM_INTERLINE,APM,PNR_ERROR_CANCEL_BOOKING,BASE TABLE,,14,DATE_CANCEL,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PASSENGER_POINTS,BASE TABLE,,6,ID_FLIGHT,NUMBER,YES,,
APM_INTERLINE,APM,PASSENGER_PNR_ERROR,BASE TABLE,,9,CREATED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PASSENGER_POINTS,BASE TABLE,,1,LAST_MODIFIED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,CONTACT,BASE TABLE,,3,COUNTRY,TEXT,YES,,
APM_INTERLINE,APM,FLIGHT,BASE TABLE,,13,BAGGAGE_WEIGHT,TEXT,YES,,
APM_INTERLINE,APM,PASSENGER_PNR_ERROR,BASE TABLE,,11,PASSENGER_TYPE,TEXT,YES,,
APM_INTERLINE,APM,CONTACT_BKP,BASE TABLE,,5,CUSTOMER_ID,NUMBER,YES,,
APM_INTERLINE,APM,FLIGHT_DETAIL,BASE TABLE,,15,HAS_EXCHANGE_AIRPORT,BOOLEAN,YES,,
APM_INTERLINE,APM,CONTACT_BKP,BASE TABLE,,4,CREATED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PNR,BASE TABLE,,11,USER_BOOKING,TEXT,YES,,
APM_INTERLINE,APM,PASSENGER_CANCEL_INFO,BASE TABLE,,11,DATA_TRANSACTION_ID,NUMBER,YES,,
APM_INTERLINE,APM,CONTACT,BASE TABLE,,19,TUDO_AZUL_NUMBER,NUMBER,YES,,
APM_INTERLINE,APM,PNR_ERROR_CANCEL_BOOKING,BASE TABLE,,6,ID,NUMBER,YES,,
APM_INTERLINE,APM,PASSENGER_POINTS,BASE TABLE,,4,CREATED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PAYMENT_CARD,BASE TABLE,,6,LAST_MODIFIED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,EXCHANGE_RULES_UPLOAD_HISTORY,BASE TABLE,,3,STATUS,TEXT,YES,,
APM_INTERLINE,APM,PNR_AUDIT,BASE TABLE,,3,LAST_MODIFIED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,CONTACT_BKP,BASE TABLE,,19,TUDO_AZUL_NUMBER,NUMBER,YES,,
APM_INTERLINE,APM,PASSENGER_TAX,BASE TABLE,,1,ID_PASSENGER,NUMBER,YES,,
APM_INTERLINE,APM,PNR,BASE TABLE,,14,STATUS_ANTI_FRAUD,TEXT,YES,,
APM_INTERLINE,APM,PASSENGER_CANCEL_INFO,BASE TABLE,,3,PASSENGER_TYPE,TEXT,YES,,
APM_INTERLINE,APM,PNR,BASE TABLE,,19,CANCEL_TYPE,TEXT,YES,,
APM_INTERLINE,APM,EXPRESSION_EXCHANGE_RULE,BASE TABLE,,5,LAST_MODIFIED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PNR,BASE TABLE,,10,USER_CANCEL,TEXT,YES,,
APM_INTERLINE,APM,PASSENGER_CANCEL_INFO,BASE TABLE,,1,ID,NUMBER,YES,,
APM_INTERLINE,APM,PASSENGER_POINTS_PLUS_MONEY,BASE TABLE,,3,MONEY_RANGE,NUMBER,YES,,
APM_INTERLINE,APM,FLIGHT_DETAIL,BASE TABLE,,4,PARTNER_PNR,TEXT,YES,,
APM_INTERLINE,APM,REFUND_PAYMENT,BASE TABLE,,1,ID_PAYMENT,NUMBER,YES,,
APM_INTERLINE,APM,PNR_ERROR_CANCEL_BOOKING,BASE TABLE,,4,REFUNDED_COMARCH,TEXT,YES,,
APM_INTERLINE,APM,PNR_ERROR_CANCEL_BOOKING,BASE TABLE,,1,CREATED_DATE,TIMESTAMP_NTZ,YES,,
