database_name,schema_name,table_name,table_type,table_description,ordinal_position,column_name,data_type,is_nullable,column_default,column_description
BRAVIUM,SHOPPING,TB_TAZUL_CATALOGUE,BASE TABLE,,1,ID_CATALOGUE,NUMBER,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_CATALOGUE,BASE TABLE,,2,IS_MARKETPLACE_STORE,BOOLEAN,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_CATALOGUE,BASE TABLE,,3,CAT_NAME,TEXT,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_CATALOGUE,BASE TABLE,,4,DH_LOAD,TIMESTAMP_NTZ,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_CATALOGUE,BASE TABLE,,5,DH_CARGA,TIMESTAMP_NTZ,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_COUPON,BASE TABLE,,1,ID_COUPON,TEXT,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_COUPON,BASE TABLE,,2,ID_CAMPAIGN,TEXT,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_COUPON,BASE TABLE,,3,DISCOUNT_TYPE,TEXT,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_COUPON,BASE TABLE,,4,APLICAR_CUPOM,TEXT,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_COUPON,BASE TABLE,,5,DH_LOAD,TIMESTAMP_NTZ,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_COUPON,BASE TABLE,,6,DH_CARGA,TIMESTAMP_NTZ,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_ITEM_ORDER,BASE TABLE,,1,ID_ITEM_ORDER,NUMBER,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_ITEM_ORDER,BASE TABLE,,2,ID_ORDER,NUMBER,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_ITEM_ORDER,BASE TABLE,,3,ID_PARTICIPANT,NUMBER,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_ITEM_ORDER,BASE TABLE,,4,ID_CAMPAIGN,TEXT,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_ITEM_ORDER,BASE TABLE,,5,MARKETPLACE_PRODUCT_ID,NUMBER,YES,,
BRAVIUM,SHOPPING,TB_TAZUL_ITEM_ORDER,BASE TABLE,,6,MARKETPLACE_SUPPLIER_ID,NUMBER,YES,,
