database_name,schema_name,table_name,table_type,table_description,ordinal_position,column_name,data_type,is_nullable,column_default,column_description
TAWS,DBO,BOOKING_HOLD,BASE TABLE,,1,BOOKING_HOLD_ID,NUMBER,YES,,
TAWS,DBO,BOOKING_HOLD,BASE TABLE,,2,HOLD_ID,NUMBER,YES,,
TAWS,DBO,BOOKING_HOLD,BASE TABLE,,3,CUSTOMER_NUMBER,TEXT,YES,,
TAWS,DBO,BOOKING_HOLD,BASE TABLE,,4,RECORD_LOCATOR,TEXT,YES,,
TAWS,DBO,BOOKING_HOLD,BASE TABLE,,5,HOLD_DATE,TIMESTAMP_NTZ,YES,,
TAWS,DBO,BOOKING_HOLD,BASE TABLE,,6,STATUS,TEXT,YES,,
TAWS,DBO,BOOKING_HOLD,BASE TABLE,,7,AMOUNT_HOLD,NUMBER,YES,,
TAWS,DBO,BOOKING_HOLD,BASE TABLE,,8,PAX_COUNT,NUMBER,YES,,
TAWS,DBO,BOOKING_HOLD,BASE TABLE,,9,PAYMENT_DATE,TIMESTAMP_NTZ,YES,,
TAWS,DBO,BOOKING_HOLD,BASE TABLE,,10,CANCELLATION_DATE,TIMESTAMP_NTZ,YES,,
TAWS,DBO,BOOKING_HOLD,BASE TABLE,,11,DH_CARGA,TIMESTAMP_NTZ,YES,,
TAWS,DBO,BOOKING_HOLD_JOURNEY,BASE TABLE,,1,BOOKING_HOLD_JOURNEY_ID,NUMBER,YES,,
TAWS,DBO,BOOKING_HOLD_JOURNEY,BASE TABLE,,2,BOOKING_HOLD_ID,NUMBER,YES,,
TAWS,DBO,BOOKING_HOLD_JOURNEY,BASE TABLE,,3,DEPARTURE_STATION,TEXT,YES,,
TAWS,DBO,BOOKING_HOLD_JOURNEY,BASE TABLE,,4,ARRIVAL_STATION,TEXT,YES,,
TAWS,DBO,BOOKING_HOLD_JOURNEY,BASE TABLE,,5,DEPARTURE_DATE,TIMESTAMP_NTZ,YES,,
TAWS,DBO,BOOKING_HOLD_JOURNEY,BASE TABLE,,6,ARRIVAL_DATE,TIMESTAMP_NTZ,YES,,
TAWS,DBO,BOOKING_HOLD_JOURNEY,BASE TABLE,,7,FLIGHT_NUMBER,TEXT,YES,,
