database_name,schema_name,table_name,table_type,table_description,ordinal_position,column_name,data_type,is_nullable,column_default,column_description
TRUSTED_FIDELIDADE,TPAPP,TRANSFER_NAVITARE_LOG,BASE TABLE,,17,INBOUND_OUTBOUND,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,ETL_CUSTO_POR_BOOKING_LOG,BASE TABLE,,3,SAFRA,DATE,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_BASE_LEG,BASE TABLE,,1,ND_MARKET,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_DUMP,BASE TABLE,,14,COST_FUEL,NUMBER,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_TP_LEG,BASE TABLE,,9,DEFCAB,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_ETV,BASE TABLE,,6,TPRICE,FLOAT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_TMP_FUEL_NOVA_LOG,BASE TABLE,,5,CIDADE,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,ETL_REGIONSND,BASE TABLE,,21,CONCORRENCIA,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_ROUTRANSFER2,BASE TABLE,,6,CABIN,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,ETL_SCHEDULE_FLIGHTS,BASE TABLE,,40,OPSUFFIX,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,ETL_TMP_ROUTRANSFER_SQL,BASE TABLE,,8,INSERE,NUMBER,YES,,
TRUSTED_FIDELIDADE,TPAPP,TEMP_OD_PADRAO,BASE TABLE,,4,ND_OD,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,ETL_ADIC_FUEL_BURN_LOG,BASE TABLE,,3,EQUIPAMENTO,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,LOG_PROCESS,BASE TABLE,,8,QUERY_STATE,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_MARGINALSEATCOST_LOG,BASE TABLE,,6,TOTAL_PAX,NUMBER,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_ETV,BASE TABLE,,5,ND_OD,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,ETL_SCHEDULE_FLIGHTS_LOG,BASE TABLE,,39,OPERATINGCARRIER,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_BASE_LEG,BASE TABLE,,9,CABIN1,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,ETL_TB_LEG,BASE TABLE,,7,PAX,NUMBER,YES,,
TRUSTED_FIDELIDADE,TPAPP,ETL_SQL_ROUTE_LOG,BASE TABLE,,6,PAXBYOD,NUMBER,YES,,
TRUSTED_FIDELIDADE,TPAPP,ETL_TB_LEG_LOG,BASE TABLE,,14,OTHERS,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,ETL_REGIONSND,BASE TABLE,,10,REGIAO2,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_ROUTE,BASE TABLE,,4,HASH_PROCESSAMENTO,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_OD_LOG,BASE TABLE,,10,ND_ROUTE,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_OD_LOG,BASE TABLE,,4,CABIN1,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,ETL_ADIC_FUEL_BURN,BASE TABLE,,5,EQP,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,ETL_SCHEDULE_FLIGHTS_LOG,BASE TABLE,,15,CARRIERCODE,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TRANSFER_NAVITARE,BASE TABLE,,21,HASH_PROCESSAMENTO,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_DUMP,BASE TABLE,,2,SEGMENT,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TBS_CONTROLE_CARGA,BASE TABLE,Tabela de controle de processamentos do Transfer Price, onde SAFRA é relacionada com o tri ao qual se refere o processamento do TP e HASH_PROCESSAMENTO é a versão a qual se refere o processamento do TP para a safra em questão,5,VERSAO_QUARTER,TEXT,YES,,Quarter de processamento do Transfer Price
TRUSTED_FIDELIDADE,TPAPP,TB_ETV,BASE TABLE,,10,HASH_PROCESSAMENTO,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TRANSFER_MEDIA_LOG,BASE TABLE,,6,TPRICE,NUMBER,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_CUSTO_POR_BOOKING_LOG,BASE TABLE,,10,CUST_M_DOLAR_12M,NUMBER,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_TP_LEG,BASE TABLE,,3,ND_MARKET,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_LONG_LATI_AEROPORTOS_LOG,BASE TABLE,,3,AEROPORTO,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_CUSTO_POR_BOOKING_LOG,BASE TABLE,,9,EM_DOLAR,NUMBER,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_MARGINALSEATCOST_LOG,BASE TABLE,,8,PAX_INT,NUMBER,YES,,
TRUSTED_FIDELIDADE,TPAPP,TB_BASE_ROUTE_AJU_LOG,BASE TABLE,,2,HASH_PROCESSAMENTO,TEXT,YES,,Chave de versionamento do processamento do Transfer Price, a qual associa todos os registros utilizados para um processmento específico do Transfer Price (log de processamentos)
TRUSTED_FIDELIDADE,TPAPP,ETL_TOTAL_PAX_AUX_LOG,BASE TABLE,,6,PAX_DOMESTIC,NUMBER,YES,,
TRUSTED_FIDELIDADE,TPAPP,TEMP_OD_AJUSTE_CABINE,BASE TABLE,,7,RECEITA_MEDIA,FLOAT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TEMP_TB_MONTH,BASE TABLE,,2,CABIN1,TEXT,YES,,
TRUSTED_FIDELIDADE,TPAPP,TBS_CONTROLE_CARGA,BASE TABLE,Tabela de controle de processamentos do Transfer Price, onde SAFRA é relacionada com o tri ao qual se refere o processamento do TP e HASH_PROCESSAMENTO é a versão a qual se refere o processamento do TP para a safra em questão,1,DTH_CRIACAO_REGISTRO_LOCAL,TIMESTAMP_NTZ,YES,CURRENT_TIMESTAMP(),Data/hora local de criação do registro
TRUSTED_FIDELIDADE,TPAPP,TB_MARGINALSEATCOST_LOG,BASE TABLE,,3,SAFRA,TEXT,YES,,
